id,carat,y,cut,color,clarity
2642,0.61,5.41,2,3,7
2643,0.3,4.35,3,4,6
2644,0.32,4.41,2,3,2
2645,0.9,6.06,1,7,7
2646,1.01,6.37,3,2,6
2647,0.36,4.65,2,3,1
2648,0.3,4.3,3,3,1
2649,2.03,8.04,2,6,6
2650,0.44,4.91,1,1,4
2651,0.31,4.47,5,2,6
2652,0.7,5.74,2,2,5
2653,0.31,4.35,3,2,5
2654,1.65,7.54,1,6,7
2655,1.01,6.19,6,2,6
2656,1.5,7.4,3,6,6
2657,1.01,6.42,2,3,4
2658,0.23,3.95,6,3,3
2659,1.0,6.38,1,2,5
2660,0.34,4.54,1,6,6
2661,0.24,4.08,3,1,3
2662,0.41,4.72,6,2,6
2663,1.01,6.53,1,1,2
2664,1.23,6.89,1,6,5
2665,0.59,5.34,3,2,7
2666,1.06,6.56,1,3,6
2667,1.22,6.87,2,5,7
2668,1.71,7.74,3,4,4
2669,1.53,7.62,3,3,6
2670,1.14,6.76,2,3,2
2671,0.51,5.2,2,3,5
2672,0.32,4.41,2,2,2
2673,1.0,6.55,3,6,6
2674,0.32,4.42,2,4,5
2675,0.9,6.25,3,5,3
2676,0.9,6.06,1,4,4
2677,1.02,6.61,1,2,7
2678,1.0,6.38,2,1,6
2679,0.34,4.5,2,3,1
2680,0.9,6.18,3,2,7
2681,0.82,6.03,2,1,5
2682,1.02,6.49,2,4,6
2683,0.51,5.17,3,7,6
2684,0.73,5.77,1,3,5
2685,1.12,6.63,1,1,7
2686,0.33,4.43,3,2,6
2687,0.42,4.86,2,7,5
2688,0.35,4.5,2,1,5
2689,0.52,5.27,2,4,6
2690,0.32,4.45,2,3,5
2691,0.71,5.46,5,6,5
2692,0.32,4.37,3,5,2
2693,0.95,6.22,2,6,5
2694,0.32,4.33,1,4,5
2695,0.7,5.73,3,2,6
2696,0.71,5.81,3,7,6
2697,0.41,4.79,1,5,6
2698,0.71,5.75,2,2,5
2699,0.9,6.18,5,2,6
2700,1.17,6.76,2,5,7
2701,0.42,4.83,1,4,5
2702,0.52,5.19,1,4,6
2703,1.04,6.46,2,6,7
2704,1.53,7.42,1,1,6
2705,1.57,7.41,3,7,7
2706,1.12,6.63,3,4,7
2707,1.08,6.59,2,4,5
2708,1.05,6.67,2,3,2
2709,2.01,7.9,3,6,4
2710,0.83,6.05,2,5,7
2711,0.32,4.38,2,1,5
2712,0.3,4.34,2,1,5
2713,1.11,6.39,5,2,7
2714,0.31,4.35,2,3,5
2715,0.41,4.73,3,2,5
2716,0.7,5.66,6,3,3
2717,2.01,7.96,3,4,6
2718,0.3,4.3,3,2,4
2719,0.61,5.39,1,2,7
2720,1.41,7.2,2,4,4
2721,0.33,4.49,1,2,2
2722,0.3,4.32,1,1,5
2723,0.3,4.3,1,1,6
2724,0.7,5.73,2,3,4
2725,0.51,5.18,3,1,6
2726,0.71,5.76,2,4,5
2727,0.57,5.46,3,2,7
2728,1.03,6.57,2,6,4
2729,0.41,4.75,2,4,1
2730,0.42,4.8,2,2,5
2731,0.3,4.31,2,3,2
2732,0.41,4.82,1,4,5
2733,0.32,4.38,2,1,5
2734,1.07,6.57,2,6,6
2735,0.34,4.47,2,4,3
2736,2.07,8.21,2,3,7
2737,1.04,6.49,2,4,5
2738,0.3,4.32,2,3,4
2739,1.54,7.47,2,6,4
2740,0.5,5.09,3,2,7
2741,1.2,6.76,2,3,5
2742,1.03,6.67,6,1,7
2743,0.51,5.13,2,3,5
2744,0.51,5.08,3,1,5
2745,0.9,6.08,3,5,3
2746,1.02,6.37,3,5,7
2747,1.0,6.44,1,3,6
2748,1.33,7.17,1,4,5
2749,1.3,7.04,2,5,7
2750,0.27,4.2,3,7,3
2751,1.05,6.55,1,4,7
2752,0.95,6.35,2,5,6
2753,0.53,5.19,1,4,6
2754,1.01,6.38,1,4,5
2755,2.01,8.15,1,7,5
2756,1.52,7.48,3,1,7
2757,1.14,6.91,3,3,5
2758,0.32,4.38,3,5,6
2759,0.29,4.33,2,4,2
2760,1.26,7.04,2,4,5
2761,0.58,5.42,6,2,6
2762,0.3,4.31,2,3,2
2763,0.38,4.7,2,1,4
2764,0.55,5.32,1,2,5
2765,1.05,6.32,6,2,8
2766,0.53,5.23,3,3,7
2767,0.4,4.82,3,2,7
2768,1.31,7.17,3,6,7
2769,0.44,5.0,6,1,6
2770,0.3,4.35,2,1,5
2771,0.71,5.82,3,2,5
2772,1.54,7.43,3,6,5
2773,0.52,5.14,1,6,4
2774,0.41,4.77,2,1,6
2775,1.05,6.48,2,1,6
2776,1.27,7.06,2,4,7
2777,0.7,5.68,2,3,4
2778,0.59,5.4,2,3,6
2779,0.71,5.67,3,6,5
2780,0.76,5.99,3,5,5
2781,0.5,5.07,3,4,4
2782,0.37,4.66,2,4,5
2783,1.1,6.6,1,1,5
2784,0.35,4.51,2,3,5
2785,0.56,5.32,2,3,5
2786,0.31,4.29,6,4,4
2787,0.39,4.74,2,4,5
2788,1.15,6.69,2,5,8
2789,0.41,4.74,2,5,1
2790,1.52,7.32,3,4,4
2791,1.31,7.08,1,4,5
2792,0.74,5.8,3,6,4
2793,0.23,3.95,3,2,3
2794,0.82,5.84,6,4,7
2795,0.76,5.96,3,6,4
2796,0.95,6.58,6,4,3
2797,0.55,5.31,2,2,3
2798,0.7,5.6,1,3,2
2799,1.26,6.99,2,5,4
2800,1.21,6.79,1,5,6
2801,0.55,5.26,2,3,4
2802,1.01,6.5,3,4,3
2803,1.2,6.69,2,5,7
2804,0.44,4.94,2,4,1
2805,0.4,4.8,2,3,3
2806,1.53,7.34,3,5,6
2807,0.51,5.1,3,1,4
2808,0.3,4.27,1,3,5
2809,0.51,5.09,5,3,6
2810,2.07,8.35,1,2,7
2811,0.48,5.06,2,4,4
2812,1.01,6.41,1,4,4
2813,1.15,6.71,2,6,7
2814,0.7,5.62,6,1,6
2815,0.33,4.48,2,4,2
2816,1.5,7.2,6,4,6
2817,0.6,5.44,3,1,6
2818,1.09,6.7,3,3,5
2819,1.0,6.31,1,5,5
2820,0.36,4.56,1,4,4
2821,0.3,4.45,3,7,4
2822,0.7,5.59,3,7,5
2823,1.04,6.51,2,4,7
2824,0.52,5.24,1,2,2
2825,0.42,4.86,2,4,4
2826,0.51,5.17,2,4,4
2827,1.0,6.42,3,3,7
2828,1.03,6.52,2,5,7
2829,0.36,4.55,6,6,6
2830,1.13,6.67,2,4,7
2831,0.31,4.31,2,4,3
2832,0.31,4.37,2,3,3
2833,0.42,4.84,1,6,7
2834,1.54,7.42,2,5,6
2835,0.95,6.3,2,2,4
2836,0.32,4.42,2,2,2
2837,0.25,4.12,2,2,2
2838,0.24,4.02,3,4,2
2839,0.9,6.09,6,3,4
2840,0.3,4.35,2,4,1
2841,1.26,6.93,2,5,6
2842,1.04,6.52,1,6,4
2843,1.06,6.49,2,5,7
2844,0.77,6.04,3,1,6
2845,0.42,4.86,2,4,2
2846,0.74,5.76,3,2,5
2847,1.01,6.4,1,4,5
2848,0.9,6.0,1,5,4
2849,1.3,6.95,1,5,7
2850,1.7,7.52,1,5,6
2851,0.42,4.9,2,3,6
2852,1.75,7.82,3,2,6
2853,0.4,4.7,2,2,3
2854,0.53,5.16,2,2,5
2855,1.26,6.93,2,5,3
2856,0.53,5.26,1,5,6
2857,0.37,4.59,2,5,2
2858,1.02,6.54,2,3,5
2859,0.92,6.2,2,2,7
2860,0.92,6.4,6,1,7
2861,0.7,5.69,3,2,7
2862,0.78,5.95,2,2,5
2863,0.43,4.88,2,3,3
2864,1.03,6.44,2,1,6
2865,0.92,6.29,2,6,6
2866,0.3,4.28,6,3,6
2867,0.9,6.16,2,4,6
2868,0.71,5.78,3,5,6
2869,0.37,4.67,2,2,5
2870,0.53,5.2,1,4,4
2871,1.02,6.44,2,1,6
2872,0.51,5.08,3,3,7
2873,0.41,4.78,2,3,6
2874,2.21,8.37,1,6,6
2875,2.08,8.22,2,7,6
2876,1.03,6.32,3,3,7
2877,0.31,4.37,3,4,2
2878,1.25,6.92,1,5,5
2879,1.0,6.36,3,3,3
2880,1.53,7.32,3,3,6
2881,0.42,4.85,2,4,1
2882,0.41,4.78,3,4,5
2883,1.22,6.74,1,1,5
2884,0.5,5.04,6,4,3
2885,0.43,4.86,2,4,3
2886,1.31,7.05,1,6,5
2887,0.41,4.78,2,2,5
2888,1.01,6.36,3,5,6
2889,0.9,6.25,3,6,5
2890,1.07,6.61,2,2,3
2891,2.01,8.19,2,6,6
2892,1.53,7.36,3,4,4
2893,0.41,4.82,3,1,5
2894,0.33,4.45,2,6,2
2895,1.65,7.53,2,4,1
2896,1.54,7.46,2,4,5
2897,0.5,5.1,1,3,5
2898,1.02,6.34,5,5,8
2899,0.51,5.15,2,2,5
2900,1.54,7.36,1,7,2
2901,1.02,6.5,1,5,5
2902,0.77,5.9,1,3,3
2903,0.52,5.05,6,3,4
2904,0.24,3.99,3,1,4
2905,0.3,4.36,2,2,4
2906,0.71,5.76,3,5,6
2907,1.2,6.75,2,6,5
2908,0.28,4.2,2,2,3
2909,0.8,5.95,2,3,5
2910,1.01,6.45,2,2,2
2911,0.9,6.11,1,5,6
2912,0.41,4.8,2,1,4
2913,0.41,4.77,3,3,7
2914,0.73,5.72,1,3,6
2915,0.35,4.6,2,2,3
2916,1.02,6.45,1,3,5
2917,0.91,6.13,2,5,4
2918,0.97,6.48,2,5,2
2919,0.5,5.03,1,1,6
2920,1.0,6.52,6,7,5
2921,0.71,5.69,3,2,6
2922,0.39,4.73,2,4,1
2923,1.22,6.91,2,3,5
2924,1.06,6.53,1,3,5
2925,0.3,4.21,1,7,6
2926,1.01,6.35,3,4,7
2927,0.33,4.45,3,6,3
2928,0.76,5.9,2,4,7
2929,1.51,7.34,2,4,4
2930,1.21,6.73,3,3,5
2931,1.25,6.86,1,5,4
2932,1.59,7.39,2,7,5
2933,1.2,6.74,2,7,7
2934,1.13,6.79,2,3,6
2935,0.24,4.1,3,2,3
2936,1.5,7.46,3,2,4
2937,0.46,5.14,3,2,5
2938,0.74,5.85,6,7,5
2939,1.01,6.42,1,3,4
2940,0.33,4.54,1,6,6
2941,0.72,5.81,2,5,7
2942,0.9,6.24,3,3,5
2943,1.51,7.24,6,4,3
2944,0.25,3.99,3,1,2
2945,1.54,7.44,1,2,5
2946,0.5,5.14,3,2,4
2947,1.71,7.79,3,3,5
2948,1.28,7.05,2,4,1
2949,2.01,7.5,5,4,8
2950,0.31,4.3,6,1,6
2951,0.34,4.47,2,2,2
2952,0.53,5.17,2,2,5
2953,1.1,6.53,1,6,7
2954,0.34,4.53,3,1,6
2955,0.42,4.8,1,3,6
2956,1.01,6.59,3,3,1
2957,0.41,4.81,2,3,1
2958,0.7,5.64,1,2,7
2959,1.05,6.5,2,5,7
2960,1.01,6.37,6,4,5
2961,0.78,5.8,1,3,6
2962,0.32,4.44,2,4,3
2963,1.08,6.6,3,4,7
2964,0.53,5.24,3,4,6
2965,0.32,4.41,2,2,1
2966,0.73,5.68,1,1,6
2967,1.03,6.39,6,5,6
2968,1.61,7.47,1,7,1
2969,1.0,6.34,3,3,6
2970,0.9,6.14,1,6,5
2971,1.03,6.49,1,6,6
2972,1.0,6.41,2,6,7
2973,0.41,4.75,3,1,4
2974,0.7,5.63,5,2,7
2975,0.3,4.25,1,3,5
2976,0.33,4.45,2,2,5
2977,1.21,6.77,3,7,5
2978,1.01,6.2,5,4,5
2979,0.73,5.77,1,4,4
2980,0.43,4.94,2,6,2
2981,0.38,4.76,2,4,3
2982,0.7,5.49,5,4,8
2983,0.3,4.38,1,3,3
2984,0.53,5.18,2,4,5
2985,0.54,5.26,2,4,5
2986,0.3,4.28,2,2,5
2987,1.3,7.04,1,5,7
2988,1.0,6.45,3,5,6
2989,0.46,5.04,2,5,4
2990,1.03,6.52,2,1,7
2991,0.73,5.79,2,4,6
2992,1.02,6.46,2,4,4
2993,0.83,6.08,2,4,6
2994,1.15,6.75,2,4,7
2995,1.52,7.3,3,5,6
2996,0.37,4.63,3,4,5
2997,1.03,6.5,2,5,6
2998,1.51,7.32,1,5,5
2999,0.76,5.86,6,2,5
3000,0.33,4.46,1,4,4
3001,1.16,6.79,2,4,1
3002,0.41,4.78,1,3,2
3003,0.9,6.16,2,6,4
3004,0.84,5.95,3,2,6
3005,0.6,5.41,2,3,6
3006,0.4,4.78,2,3,7
3007,0.43,4.84,3,3,7
3008,0.51,5.05,1,2,6
3009,0.7,5.62,3,5,5
3010,1.06,6.72,3,1,6
3011,0.54,5.3,2,3,3
3012,0.5,5.13,2,1,5
3013,0.41,4.88,1,2,4
3014,0.37,4.64,1,2,6
3015,0.96,6.22,1,7,6
3016,1.67,7.58,2,3,5
3017,0.54,5.23,1,4,4
3018,0.31,4.33,2,1,5
3019,0.31,4.34,1,4,4
3020,0.57,5.46,3,4,5
3021,0.33,4.42,3,5,6
3022,0.33,4.39,3,3,5
3023,0.81,5.97,2,2,5
3024,0.36,4.57,3,5,4
3025,1.01,6.6,3,4,6
3026,0.51,5.09,3,3,4
3027,0.56,5.34,2,6,1
3028,0.33,4.44,2,5,3
3029,1.02,6.5,1,1,7
3030,1.11,6.7,3,3,4
3031,0.56,5.36,3,1,1
3032,0.33,4.49,2,2,6
3033,0.37,4.6,1,7,5
3034,1.21,6.81,2,4,7
3035,0.56,5.37,2,6,2
3036,1.11,6.77,3,7,4
3037,0.53,5.21,3,6,4
3038,0.35,4.5,3,1,5
3039,0.43,4.84,2,7,1
3040,1.55,7.46,1,5,5
3041,0.71,5.72,2,4,5
3042,0.41,4.77,3,3,6
3043,2.09,8.2,1,5,7
3044,0.72,5.73,2,3,7
3045,0.43,4.82,2,1,6
3046,1.02,6.41,2,5,6
3047,0.56,5.3,2,1,4
3048,0.53,5.22,2,1,7
3049,0.31,4.34,2,3,1
3050,0.37,4.67,1,2,3
3051,0.33,4.43,3,1,2
3052,0.4,4.81,3,2,6
3053,0.71,5.74,3,3,6
3054,0.9,6.09,6,3,5
3055,1.15,6.8,3,4,5
3056,0.27,4.15,3,4,2
3057,1.21,6.86,1,5,7
3058,1.02,6.62,3,7,5
3059,0.99,6.36,3,4,6
3060,0.32,4.41,1,4,5
3061,1.0,6.44,1,3,7
3062,1.0,6.27,5,4,6
3063,1.22,6.89,2,6,6
3064,0.31,4.39,3,5,6
3065,0.7,5.75,2,1,3
3066,0.5,4.99,6,2,6
3067,0.52,5.18,1,2,3
3068,0.34,4.49,1,3,5
3069,1.39,7.08,6,3,7
3070,1.03,6.5,2,4,2
3071,1.03,6.43,2,4,4
3072,0.34,4.58,2,5,6
3073,0.3,4.33,2,2,1
3074,1.01,6.38,1,6,7
3075,0.33,4.43,2,2,6
3076,0.4,4.67,3,6,6
3077,2.19,8.53,1,7,7
3078,0.91,6.23,1,6,7
3079,1.28,6.83,1,5,6
3080,0.42,4.89,2,5,4
3081,0.31,4.35,2,5,5
3082,1.01,6.41,1,4,5
3083,1.03,6.48,2,5,6
3084,2.02,8.13,1,3,7
3085,0.42,4.78,1,4,4
3086,0.31,4.36,1,4,6
3087,0.36,4.54,2,1,4
3088,0.58,5.38,2,4,5
3089,0.46,5.0,2,6,3
3090,0.51,5.15,2,1,5
3091,0.33,4.48,2,5,1
3092,0.74,5.86,1,4,7
3093,0.74,5.87,6,1,2
3094,0.9,6.16,3,2,5
3095,0.71,5.71,2,1,7
3096,0.4,4.79,1,4,2
3097,0.24,4.08,3,3,2
3098,0.59,5.4,2,4,5
3099,0.32,4.41,2,4,3
3100,1.03,6.47,1,5,4
3101,1.0,6.51,1,5,5
3102,1.0,6.48,6,3,7
3103,0.41,4.72,1,7,4
3104,1.01,6.29,1,5,5
3105,1.01,6.37,3,2,6
3106,0.33,4.45,3,2,5
3107,0.44,4.96,1,5,2
3108,1.06,6.57,2,6,6
3109,0.9,6.15,3,4,6
3110,0.81,5.9,1,2,7
3111,0.43,4.82,2,2,5
3112,0.32,4.36,2,1,6
3113,0.9,6.0,5,4,7
3114,0.9,6.07,1,5,4
3115,2.03,8.04,1,6,7
3116,0.53,5.12,6,2,5
3117,1.02,6.47,2,3,4
3118,0.71,5.7,3,3,5
3119,0.4,4.76,2,6,3
3120,0.73,5.76,2,3,3
3121,0.72,5.86,2,1,4
3122,1.01,6.6,2,1,7
3123,1.08,6.63,2,4,4
3124,0.71,5.74,1,3,4
3125,0.83,6.1,1,7,6
3126,0.31,4.28,3,4,4
3127,0.9,6.24,3,6,7
3128,0.7,5.61,3,3,5
3129,1.06,6.65,2,5,7
3130,0.42,4.84,2,1,6
3131,1.63,7.63,2,2,5
3132,0.31,4.39,1,2,5
3133,0.3,4.27,3,5,6
3134,1.03,6.51,1,2,7
3135,0.39,4.75,2,3,1
3136,0.71,5.79,1,1,6
3137,0.7,5.67,1,2,2
3138,0.71,5.72,2,2,5
3139,1.2,6.67,1,2,5
3140,0.71,5.9,5,6,4
3141,2.4,8.81,6,6,6
3142,1.73,7.55,1,3,7
3143,1.58,7.54,1,5,5
3144,0.38,4.65,2,1,6
3145,0.82,5.97,1,3,4
3146,0.71,5.8,3,6,4
3147,0.49,5.07,1,2,7
3148,1.1,6.68,2,3,6
3149,1.51,7.39,2,4,7
3150,0.43,4.96,1,5,6
3151,0.85,6.01,2,2,7
3152,1.01,6.46,2,2,1
3153,0.55,5.29,3,3,5
3154,0.92,6.21,3,2,6
3155,0.57,5.36,1,2,3
3156,0.71,5.85,3,7,5
3157,2.0,7.92,1,6,5
3158,0.7,5.79,2,3,5
3159,1.26,6.94,1,6,6
3160,0.72,5.74,2,4,4
3161,1.01,6.4,2,3,5
3162,0.7,5.74,1,2,5
3163,1.04,6.51,2,4,3
3164,1.5,7.22,1,5,8
3165,1.74,7.54,2,1,7
3166,1.51,7.3,1,3,7
3167,0.91,6.1,3,5,6
3168,0.57,5.31,2,3,6
3169,0.78,5.79,5,4,6
3170,0.31,4.45,2,3,1
3171,0.3,4.25,3,4,5
3172,1.47,7.29,1,7,5
3173,1.01,6.28,6,2,6
3174,0.31,4.33,2,5,5
3175,0.59,5.39,3,1,5
3176,0.61,5.49,2,3,3
3177,1.14,6.68,2,5,5
3178,0.41,4.8,2,3,4
3179,0.9,6.16,6,5,7
3180,0.32,4.38,1,7,4
3181,0.36,4.59,2,4,6
3182,0.26,4.09,2,2,3
3183,0.5,5.03,6,3,5
3184,0.37,4.66,1,2,5
3185,0.31,4.29,2,3,5
3186,0.32,4.45,2,1,3
3187,0.5,5.18,1,4,4
3188,1.02,6.48,1,4,6
3189,1.0,6.36,1,3,5
3190,1.12,6.81,1,1,7
3191,1.01,6.4,3,3,7
3192,1.03,6.51,6,3,7
3193,0.52,5.12,6,5,5
3194,0.3,4.33,2,4,1
3195,0.63,5.48,3,3,5
3196,0.34,4.54,2,4,5
3197,0.5,5.08,6,1,6
3198,0.43,4.86,2,7,4
3199,1.05,6.49,2,2,3
3200,0.42,4.82,2,4,4
3201,0.3,4.28,3,4,3
3202,0.53,5.24,2,5,5
3203,0.25,4.05,1,2,3
3204,0.32,4.37,2,5,3
3205,1.06,6.57,2,3,3
3206,0.71,5.84,2,2,5
3207,0.3,4.31,2,2,4
3208,0.3,4.31,2,6,2
3209,0.31,4.33,3,2,4
3210,0.57,5.38,2,5,2
3211,0.32,4.31,6,3,2
3212,0.35,4.54,2,3,5
3213,0.56,5.34,2,2,5
3214,0.9,6.15,6,3,7
3215,0.31,4.3,1,1,6
3216,0.57,5.35,3,2,4
3217,1.6,7.68,3,6,2
3218,0.76,5.88,1,1,6
3219,1.13,6.77,2,5,3
3220,0.72,5.8,3,6,3
3221,0.79,5.98,2,4,6
3222,0.32,4.4,3,5,4
3223,0.73,5.8,1,3,7
3224,1.01,6.38,3,1,5
3225,1.14,6.97,3,2,7
3226,0.4,4.74,3,3,3
3227,1.26,6.98,2,4,4
3228,0.38,4.72,6,1,2
3229,0.53,5.26,3,4,4
3230,1.2,6.64,1,4,4
3231,1.01,6.43,2,4,5
3232,0.35,4.55,3,3,2
3233,0.35,4.51,2,6,6
3234,1.18,6.79,2,2,8
3235,0.9,6.17,3,1,6
3236,0.7,5.74,2,5,5
3237,0.31,4.36,2,5,5
3238,0.51,5.14,2,2,5
3239,1.21,7.03,3,4,5
3240,0.7,5.76,3,2,6
3241,1.51,7.27,2,4,6
3242,0.7,5.64,3,5,6
3243,0.72,5.81,1,3,6
3244,0.71,5.77,2,5,5
3245,1.25,6.84,2,2,5
3246,1.03,6.42,1,4,4
3247,2.0,8.05,1,6,7
3248,0.73,5.74,1,4,8
3249,0.9,6.13,1,1,7
3250,0.81,5.9,3,3,3
3251,1.01,6.41,1,5,5
3252,1.13,6.61,1,6,7
3253,1.73,7.76,3,4,3
3254,1.53,7.46,1,5,5
3255,0.9,6.13,3,5,6
3256,0.47,5.0,2,1,2
3257,2.02,8.25,1,6,5
3258,1.01,6.4,6,3,6
3259,0.35,4.6,2,3,3
3260,0.8,5.94,3,5,4
3261,0.9,6.13,3,5,4
3262,1.12,6.7,2,5,6
3263,0.7,5.69,3,3,3
3264,1.01,6.65,3,3,5
3265,0.5,5.06,1,2,6
3266,0.36,4.51,1,5,6
3267,0.71,5.64,1,6,5
3268,1.53,7.57,2,4,6
3269,0.74,5.8,6,2,5
3270,1.1,6.56,6,6,6
3271,1.55,7.46,2,6,3
3272,0.43,4.89,2,5,2
3273,2.03,8.24,2,5,6
3274,0.7,5.79,2,2,6
3275,0.59,5.41,2,2,3
3276,1.01,6.33,6,2,5
3277,0.7,5.64,6,4,4
3278,1.0,6.42,6,2,5
3279,1.01,6.31,6,3,5
3280,0.42,4.86,2,4,1
3281,1.28,6.91,2,5,6
3282,0.42,4.8,2,2,4
3283,0.7,5.67,3,3,6
3284,0.79,6.03,3,3,4
3285,0.5,5.07,2,4,5
3286,1.21,6.88,1,5,5
3287,0.41,4.68,6,2,7
3288,0.71,5.73,3,3,4
3289,1.0,6.43,1,3,7
3290,0.92,6.34,6,6,4
3291,0.54,5.28,2,1,5
3292,0.31,4.38,1,1,7
3293,0.36,4.59,2,6,4
3294,0.31,4.39,2,4,2
3295,0.9,6.16,3,6,6
3296,0.46,4.96,2,2,7
3297,0.35,4.58,2,2,3
3298,0.6,5.51,2,4,5
3299,0.36,4.59,3,2,5
3300,1.71,7.68,2,7,3
3301,1.26,6.91,2,4,2
3302,0.34,4.47,2,6,4
3303,1.05,6.41,3,5,5
3304,0.29,4.27,3,3,4
3305,0.8,5.94,3,2,4
3306,0.91,6.18,2,3,7
3307,0.3,4.22,1,3,4
3308,1.08,6.54,1,4,7
3309,2.02,7.9,5,7,4
3310,0.71,5.68,2,4,5
3311,0.55,5.28,2,1,5
3312,0.7,5.8,2,2,5
3313,1.14,6.64,1,4,7
3314,0.9,6.12,1,4,6
3315,0.97,6.2,3,6,7
3316,0.3,4.24,3,4,5
3317,0.58,5.36,3,5,6
3318,1.07,6.65,1,5,6
3319,0.71,5.8,2,4,5
3320,0.9,6.15,3,5,2
3321,0.53,5.18,3,2,6
3322,0.72,5.68,3,6,5
3323,0.7,5.75,1,5,6
3324,0.37,4.73,1,2,6
3325,0.96,6.47,1,6,5
3326,0.39,4.72,2,3,6
3327,0.31,4.35,6,1,6
3328,0.53,5.24,2,4,6
3329,1.09,6.57,1,1,6
3330,1.5,7.56,3,3,7
3331,0.54,5.27,2,6,6
3332,1.5,7.22,1,5,7
3333,1.18,6.73,1,6,6
3334,0.51,5.14,1,1,3
3335,0.24,3.98,3,2,4
3336,1.51,7.26,1,4,6
3337,0.36,4.68,2,1,6
3338,1.28,7.13,3,4,4
3339,0.32,4.36,2,4,5
3340,0.52,5.2,2,4,4
3341,0.3,4.24,1,4,4
3342,1.19,6.7,1,7,5
3343,1.5,7.31,1,5,4
3344,0.7,5.64,1,6,7
3345,2.15,7.95,5,7,8
3346,0.9,6.22,3,3,6
3347,1.0,6.31,6,2,6
3348,0.7,5.47,5,2,5
3349,0.32,4.39,2,3,5
3350,1.01,6.46,1,2,6
3351,1.0,6.16,5,4,6
3352,0.4,4.76,2,4,2
3353,0.51,5.11,2,5,6
3354,1.23,6.92,3,7,3
3355,0.52,5.2,2,1,7
3356,1.28,6.96,1,1,7
3357,0.25,4.05,2,2,5
3358,0.53,5.26,2,1,7
3359,0.71,5.75,3,7,3
3360,1.0,6.29,3,3,6
3361,0.43,4.93,1,5,6
3362,0.55,5.2,1,4,6
3363,0.5,5.15,1,3,6
3364,0.3,4.29,6,6,2
3365,2.02,8.13,2,5,6
3366,0.72,5.77,2,4,3
3367,0.7,5.79,3,3,3
3368,1.03,6.52,2,4,6
3369,0.51,5.06,1,4,5
3370,1.26,7.0,2,5,6
3371,1.5,7.02,5,5,8
3372,0.71,5.79,1,1,6
3373,0.3,4.28,3,1,7
3374,0.51,5.2,2,1,4
3375,2.17,8.41,3,7,7
3376,0.5,5.11,3,4,3
3377,0.32,4.38,6,4,6
3378,1.08,6.56,2,5,5
3379,0.34,4.46,2,5,4
3380,1.01,6.38,2,6,4
3381,0.5,5.06,3,5,4
3382,0.3,4.27,6,5,7
3383,0.31,4.3,6,4,6
3384,1.08,6.6,2,5,7
3385,2.07,8.16,6,6,5
3386,1.51,7.37,3,2,7
3387,0.55,5.22,1,3,5
3388,1.04,6.38,3,4,4
3389,0.25,4.14,3,2,2
3390,0.92,6.16,3,4,6
3391,0.52,5.14,2,1,5
3392,0.45,4.75,5,3,5
3393,1.21,6.62,2,6,7
3394,0.24,4.03,2,2,2
3395,2.09,8.21,1,3,7
3396,0.4,4.84,3,1,3
3397,1.0,6.26,6,2,7
3398,0.27,4.1,3,1,3
3399,0.56,5.32,2,3,3
3400,0.31,4.5,6,4,5
3401,0.31,4.4,2,3,4
3402,1.0,6.38,1,4,1
3403,1.53,7.32,1,2,5
3404,0.57,5.29,2,4,3
3405,1.02,6.25,6,5,7
3406,1.62,7.57,2,6,7
3407,0.32,4.43,2,4,1
3408,1.63,7.56,2,6,6
3409,0.41,4.79,3,7,4
3410,0.32,4.42,2,1,2
3411,0.51,5.25,3,2,4
3412,0.53,5.24,2,3,6
3413,0.42,4.87,2,3,2
3414,0.7,5.68,1,5,5
3415,1.39,7.21,2,4,1
3416,1.16,6.65,1,5,7
3417,2.01,8.09,3,5,7
3418,1.01,6.4,3,7,6
3419,0.51,5.15,1,5,7
3420,0.51,5.14,6,6,6
3421,0.35,4.51,6,3,6
3422,0.58,5.45,3,4,7
3423,0.91,6.08,6,4,7
3424,0.26,4.1,3,4,3
3425,0.31,4.33,3,6,3
3426,0.9,6.17,3,5,5
3427,0.9,6.0,5,3,6
3428,0.39,4.65,1,4,5
3429,2.0,8.06,1,1,7
3430,0.4,4.75,2,2,4
3431,2.01,8.0,1,7,7
3432,1.0,6.48,1,4,7
3433,0.37,4.67,3,2,2
3434,1.01,6.42,3,2,7
3435,0.55,5.29,1,1,6
3436,1.01,6.41,3,1,2
3437,1.35,7.09,2,5,6
3438,0.7,5.74,2,7,5
3439,0.7,5.66,1,3,6
3440,0.32,4.43,2,3,2
3441,0.42,4.82,2,4,5
3442,0.3,4.34,1,1,4
3443,0.28,4.25,2,6,4
3444,1.5,7.32,1,7,6
3445,2.18,8.22,2,3,7
3446,0.31,4.34,3,6,5
3447,0.71,5.69,2,6,2
3448,0.95,6.37,3,1,7
3449,0.7,5.76,2,3,4
3450,1.52,7.44,1,5,6
3451,1.28,6.99,1,6,6
3452,0.7,5.81,3,5,4
3453,0.41,4.75,6,1,4
3454,0.7,5.65,3,6,4
3455,1.15,6.65,2,3,3
3456,1.26,6.98,2,2,3
3457,0.46,5.0,2,7,5
3458,0.9,6.19,3,5,4
3459,0.91,6.09,3,5,6
3460,0.77,5.77,6,2,7
3461,0.3,4.3,1,5,2
3462,1.2,6.71,2,6,6
3463,1.29,6.97,2,4,3
