carat,y,cut,color,clarity
1.2,6.67,1,2,5
0.71,5.9,5,6,4
2.4,8.81,6,6,6
1.73,7.55,1,3,7
1.58,7.54,1,5,5
0.38,4.65,2,1,6
0.82,5.97,1,3,4
0.71,5.8,3,6,4
0.49,5.07,1,2,7
1.1,6.68,2,3,6
1.51,7.39,2,4,7
0.43,4.96,1,5,6
0.85,6.01,2,2,7
1.01,6.46,2,2,1
0.55,5.29,3,3,5
0.92,6.21,3,2,6
0.57,5.36,1,2,3
0.71,5.85,3,7,5
2.0,7.92,1,6,5
0.7,5.79,2,3,5
1.26,6.94,1,6,6
0.72,5.74,2,4,4
1.01,6.4,2,3,5
0.7,5.74,1,2,5
1.04,6.51,2,4,3
1.5,7.22,1,5,8
1.74,7.54,2,1,7
1.51,7.3,1,3,7
0.91,6.1,3,5,6
0.57,5.31,2,3,6
0.78,5.79,5,4,6
0.31,4.45,2,3,1
0.3,4.25,3,4,5
1.47,7.29,1,7,5
1.01,6.28,6,2,6
0.31,4.33,2,5,5
0.59,5.39,3,1,5
0.61,5.49,2,3,3
1.14,6.68,2,5,5
0.41,4.8,2,3,4
0.9,6.16,6,5,7
0.32,4.38,1,7,4
0.36,4.59,2,4,6
0.26,4.09,2,2,3
0.5,5.03,6,3,5
0.37,4.66,1,2,5
0.31,4.29,2,3,5
0.32,4.45,2,1,3
0.5,5.18,1,4,4
1.02,6.48,1,4,6
1.0,6.36,1,3,5
1.12,6.81,1,1,7
1.01,6.4,3,3,7
1.03,6.51,6,3,7
0.52,5.12,6,5,5
0.3,4.33,2,4,1
0.63,5.48,3,3,5
0.34,4.54,2,4,5
0.5,5.08,6,1,6
0.43,4.86,2,7,4
1.05,6.49,2,2,3
0.42,4.82,2,4,4
0.3,4.28,3,4,3
0.53,5.24,2,5,5
0.25,4.05,1,2,3
0.32,4.37,2,5,3
1.06,6.57,2,3,3
0.71,5.84,2,2,5
0.3,4.31,2,2,4
0.3,4.31,2,6,2
0.31,4.33,3,2,4
0.57,5.38,2,5,2
0.32,4.31,6,3,2
0.35,4.54,2,3,5
0.56,5.34,2,2,5
0.9,6.15,6,3,7
0.31,4.3,1,1,6
0.57,5.35,3,2,4
1.6,7.68,3,6,2
0.76,5.88,1,1,6
1.13,6.77,2,5,3
0.72,5.8,3,6,3
0.79,5.98,2,4,6
0.32,4.4,3,5,4
0.73,5.8,1,3,7
1.01,6.38,3,1,5
1.14,6.97,3,2,7
0.4,4.74,3,3,3
1.26,6.98,2,4,4
0.38,4.72,6,1,2
0.53,5.26,3,4,4
1.2,6.64,1,4,4
1.01,6.43,2,4,5
0.35,4.55,3,3,2
0.35,4.51,2,6,6
1.18,6.79,2,2,8
0.9,6.17,3,1,6
0.7,5.74,2,5,5
0.31,4.36,2,5,5
0.51,5.14,2,2,5
1.21,7.03,3,4,5
0.7,5.76,3,2,6
1.51,7.27,2,4,6
0.7,5.64,3,5,6
0.72,5.81,1,3,6
0.71,5.77,2,5,5
1.25,6.84,2,2,5
1.03,6.42,1,4,4
2.0,8.05,1,6,7
0.73,5.74,1,4,8
0.9,6.13,1,1,7
0.81,5.9,3,3,3
1.01,6.41,1,5,5
1.13,6.61,1,6,7
1.73,7.76,3,4,3
1.53,7.46,1,5,5
0.9,6.13,3,5,6
0.47,5.0,2,1,2
2.02,8.25,1,6,5
1.01,6.4,6,3,6
0.35,4.6,2,3,3
0.8,5.94,3,5,4
0.9,6.13,3,5,4
1.12,6.7,2,5,6
0.7,5.69,3,3,3
1.01,6.65,3,3,5
0.5,5.06,1,2,6
0.36,4.51,1,5,6
0.71,5.64,1,6,5
1.53,7.57,2,4,6
0.74,5.8,6,2,5
1.1,6.56,6,6,6
1.55,7.46,2,6,3
0.43,4.89,2,5,2
2.03,8.24,2,5,6
0.7,5.79,2,2,6
0.59,5.41,2,2,3
1.01,6.33,6,2,5
0.7,5.64,6,4,4
1.0,6.42,6,2,5
1.01,6.31,6,3,5
0.42,4.86,2,4,1
1.28,6.91,2,5,6
0.42,4.8,2,2,4
0.7,5.67,3,3,6
0.79,6.03,3,3,4
0.5,5.07,2,4,5
1.21,6.88,1,5,5
0.41,4.68,6,2,7
0.71,5.73,3,3,4
1.0,6.43,1,3,7
0.92,6.34,6,6,4
0.54,5.28,2,1,5
0.31,4.38,1,1,7
0.36,4.59,2,6,4
0.31,4.39,2,4,2
0.9,6.16,3,6,6
0.46,4.96,2,2,7
0.35,4.58,2,2,3
0.6,5.51,2,4,5
0.36,4.59,3,2,5
1.71,7.68,2,7,3
1.26,6.91,2,4,2
0.34,4.47,2,6,4
1.05,6.41,3,5,5
0.29,4.27,3,3,4
0.8,5.94,3,2,4
0.91,6.18,2,3,7
0.3,4.22,1,3,4
1.08,6.54,1,4,7
2.02,7.9,5,7,4
0.71,5.68,2,4,5
0.55,5.28,2,1,5
0.7,5.8,2,2,5
1.14,6.64,1,4,7
0.9,6.12,1,4,6
0.97,6.2,3,6,7
0.3,4.24,3,4,5
0.58,5.36,3,5,6
1.07,6.65,1,5,6
0.71,5.8,2,4,5
0.9,6.15,3,5,2
0.53,5.18,3,2,6
0.72,5.68,3,6,5
0.7,5.75,1,5,6
0.37,4.73,1,2,6
0.96,6.47,1,6,5
0.39,4.72,2,3,6
0.31,4.35,6,1,6
0.53,5.24,2,4,6
1.09,6.57,1,1,6
1.5,7.56,3,3,7
0.54,5.27,2,6,6
1.5,7.22,1,5,7
1.18,6.73,1,6,6
0.51,5.14,1,1,3
0.24,3.98,3,2,4
1.51,7.26,1,4,6
0.36,4.68,2,1,6
1.28,7.13,3,4,4
0.32,4.36,2,4,5
0.52,5.2,2,4,4
0.3,4.24,1,4,4
1.19,6.7,1,7,5
1.5,7.31,1,5,4
0.7,5.64,1,6,7
2.15,7.95,5,7,8
0.9,6.22,3,3,6
1.0,6.31,6,2,6
0.7,5.47,5,2,5
0.32,4.39,2,3,5
1.01,6.46,1,2,6
1.0,6.16,5,4,6
0.4,4.76,2,4,2
0.51,5.11,2,5,6
1.23,6.92,3,7,3
0.52,5.2,2,1,7
1.28,6.96,1,1,7
0.25,4.05,2,2,5
0.53,5.26,2,1,7
0.71,5.75,3,7,3
1.0,6.29,3,3,6
0.43,4.93,1,5,6
0.55,5.2,1,4,6
0.5,5.15,1,3,6
0.3,4.29,6,6,2
2.02,8.13,2,5,6
0.72,5.77,2,4,3
0.7,5.79,3,3,3
1.03,6.52,2,4,6
0.51,5.06,1,4,5
1.26,7.0,2,5,6
1.5,7.02,5,5,8
0.71,5.79,1,1,6
0.3,4.28,3,1,7
0.51,5.2,2,1,4
2.17,8.41,3,7,7
0.5,5.11,3,4,3
0.32,4.38,6,4,6
1.08,6.56,2,5,5
0.34,4.46,2,5,4
1.01,6.38,2,6,4
0.5,5.06,3,5,4
0.3,4.27,6,5,7
0.31,4.3,6,4,6
1.08,6.6,2,5,7
2.07,8.16,6,6,5
1.51,7.37,3,2,7
0.55,5.22,1,3,5
1.04,6.38,3,4,4
0.25,4.14,3,2,2
0.92,6.16,3,4,6
0.52,5.14,2,1,5
0.45,4.75,5,3,5
1.21,6.62,2,6,7
0.24,4.03,2,2,2
2.09,8.21,1,3,7
0.4,4.84,3,1,3
1.0,6.26,6,2,7
0.27,4.1,3,1,3
0.56,5.32,2,3,3
0.31,4.5,6,4,5
0.31,4.4,2,3,4
1.0,6.38,1,4,1
1.53,7.32,1,2,5
0.57,5.29,2,4,3
1.02,6.25,6,5,7
1.62,7.57,2,6,7
0.32,4.43,2,4,1
1.63,7.56,2,6,6
0.41,4.79,3,7,4
0.32,4.42,2,1,2
0.51,5.25,3,2,4
0.53,5.24,2,3,6
0.42,4.87,2,3,2
0.7,5.68,1,5,5
1.39,7.21,2,4,1
1.16,6.65,1,5,7
2.01,8.09,3,5,7
1.01,6.4,3,7,6
0.51,5.15,1,5,7
0.51,5.14,6,6,6
0.35,4.51,6,3,6
0.58,5.45,3,4,7
0.91,6.08,6,4,7
0.26,4.1,3,4,3
0.31,4.33,3,6,3
0.9,6.17,3,5,5
0.9,6.0,5,3,6
0.39,4.65,1,4,5
2.0,8.06,1,1,7
0.4,4.75,2,2,4
2.01,8.0,1,7,7
1.0,6.48,1,4,7
0.37,4.67,3,2,2
1.01,6.42,3,2,7
0.55,5.29,1,1,6
1.01,6.41,3,1,2
1.35,7.09,2,5,6
0.7,5.74,2,7,5
0.7,5.66,1,3,6
0.32,4.43,2,3,2
0.42,4.82,2,4,5
0.3,4.34,1,1,4
0.28,4.25,2,6,4
1.5,7.32,1,7,6
2.18,8.22,2,3,7
0.31,4.34,3,6,5
0.71,5.69,2,6,2
0.95,6.37,3,1,7
0.7,5.76,2,3,4
1.52,7.44,1,5,6
1.28,6.99,1,6,6
0.7,5.81,3,5,4
0.41,4.75,6,1,4
0.7,5.65,3,6,4
1.15,6.65,2,3,3
1.26,6.98,2,2,3
0.46,5.0,2,7,5
0.9,6.19,3,5,4
0.91,6.09,3,5,6
0.77,5.77,6,2,7
0.3,4.3,1,5,2
1.2,6.71,2,6,6
1.29,6.97,2,4,3
1.04,6.35,3,3,7
2.0,7.93,3,5,6
0.5,5.08,3,4,6
0.37,4.73,6,1,4
0.52,5.16,3,5,6
0.4,4.78,1,2,7
0.9,6.17,3,1,7
1.51,7.37,2,5,6
0.7,5.71,2,4,6
0.36,4.56,1,3,6
1.01,6.23,5,3,6
0.72,5.74,2,2,7
0.34,4.55,2,4,5
0.5,5.15,2,2,5
0.9,6.2,2,2,6
1.2,6.61,6,7,5
1.06,6.6,3,4,4
0.72,5.72,3,4,6
0.25,4.04,3,3,1
0.59,5.47,3,3,1
0.39,4.7,1,4,3
1.05,6.71,3,5,5
0.57,5.39,2,3,4
0.41,4.81,2,4,7
0.53,5.21,2,2,5
0.81,5.88,3,6,5
1.13,6.67,2,4,7
1.0,6.35,1,3,5
0.33,4.42,1,2,4
0.52,5.23,2,3,6
0.31,4.31,2,4,5
0.83,6.06,3,4,7
0.96,6.04,5,5,8
0.9,6.11,1,7,7
0.72,5.75,1,4,7
0.71,5.74,3,2,3
0.71,5.77,3,4,3
1.51,7.19,3,2,7
1.16,6.78,2,4,6
1.01,6.38,1,5,6
0.38,4.64,3,4,6
0.31,4.34,1,3,5
0.91,6.17,6,3,6
0.56,5.3,2,5,6
1.01,6.48,1,4,1
0.3,4.32,2,6,6
0.72,5.83,2,5,7
0.41,4.77,2,1,4
0.52,5.21,2,5,7
1.05,6.74,3,1,6
1.16,6.88,2,6,5
1.5,7.32,6,5,5
0.31,4.33,6,3,6
0.5,5.09,2,3,6
1.26,7.0,3,4,7
0.37,4.59,2,1,5
2.07,8.02,3,6,6
0.63,5.7,6,5,1
1.24,6.95,2,3,4
1.52,7.42,2,6,4
0.3,4.29,3,1,5
2.01,8.19,6,6,5
0.58,5.42,2,5,4
1.02,6.48,2,4,3
1.05,6.51,1,7,5
1.03,6.53,6,1,6
0.51,5.16,2,4,3
0.71,5.78,3,2,5
0.7,5.72,1,2,6
1.57,7.44,3,5,4
1.7,7.71,2,1,7
0.38,4.62,6,5,2
0.41,4.78,2,1,6
0.39,4.85,3,5,6
0.46,4.97,1,6,7
1.7,7.47,2,5,4
0.44,4.93,2,1,2
0.83,5.95,1,7,6
0.63,5.53,1,2,4
1.25,6.87,6,6,7
0.44,4.9,2,2,6
1.01,6.26,3,2,7
1.05,6.57,2,4,7
0.9,6.12,3,5,7
0.7,5.77,2,2,4
0.9,6.16,1,5,5
1.16,6.72,2,4,5
2.09,8.22,1,5,7
1.35,7.16,1,5,4
1.23,6.82,6,7,7
1.62,7.52,2,6,3
0.32,4.36,2,6,4
1.22,6.88,2,2,6
0.3,4.29,3,5,4
1.21,6.77,1,7,5
1.11,6.61,1,4,6
0.31,4.39,2,4,7
0.51,5.21,3,5,4
0.91,6.23,2,3,7
0.76,5.89,2,5,2
1.05,6.53,2,4,3
0.5,5.09,1,1,5
0.32,4.4,2,1,6
0.35,4.54,2,1,5
0.96,6.39,1,2,6
1.61,7.48,3,2,7
1.09,6.51,3,7,2
1.22,6.88,1,4,4
0.71,5.67,6,2,6
1.1,6.61,1,5,4
0.5,5.12,1,3,5
1.11,6.59,1,5,6
1.01,6.45,1,3,3
1.52,7.25,1,5,3
1.06,6.7,3,4,5
0.9,6.16,3,5,7
1.63,7.54,2,5,6
0.23,3.9,3,2,4
1.09,6.66,2,2,6
0.32,4.4,2,4,5
0.71,5.76,1,6,6
1.0,6.4,1,2,6
0.3,4.3,1,4,5
1.04,6.62,3,3,5
0.5,5.03,3,5,1
0.23,3.94,3,2,3
2.04,8.06,1,4,7
0.52,5.31,1,3,6
0.34,4.55,1,1,3
1.23,6.94,2,6,4
0.38,4.58,2,3,5
0.74,5.86,2,4,4
0.32,4.4,2,6,3
0.52,5.12,3,2,5
0.27,4.18,2,1,2
1.26,6.9,1,7,7
1.0,6.35,1,4,5
0.31,4.33,3,2,5
0.44,4.92,2,1,4
1.01,6.37,6,1,6
1.05,6.48,2,4,1
1.5,7.48,1,3,7
0.42,4.81,3,2,5
0.32,4.33,1,6,5
0.43,4.86,1,3,5
0.33,4.4,2,3,5
0.71,5.65,3,1,5
0.7,5.63,3,1,6
0.8,5.91,2,4,6
0.7,5.81,3,2,6
0.53,5.21,2,1,3
0.34,4.52,2,3,1
0.32,4.42,1,4,5
0.79,6.03,1,1,7
1.02,6.46,1,1,3
1.53,7.35,2,6,7
0.32,4.45,2,2,2
1.17,6.71,1,5,6
0.39,4.7,1,1,5
0.71,5.82,2,2,7
0.31,4.4,3,2,6
1.69,7.79,3,7,8
0.41,4.75,2,4,5
0.25,4.02,1,2,3
1.71,7.81,3,5,6
0.6,5.47,2,4,4
0.5,5.09,3,3,7
0.37,4.64,2,4,1
1.19,6.83,2,5,8
2.05,8.13,1,5,5
2.16,8.49,1,6,6
0.37,4.71,3,3,4
0.27,4.11,3,2,5
0.9,6.12,6,2,4
1.03,6.49,3,5,4
0.93,6.17,1,3,7
1.31,7.12,3,6,7
0.9,6.41,6,3,7
1.01,6.56,1,2,7
0.73,5.78,2,2,5
0.57,5.41,2,4,2
0.24,4.0,2,4,6
0.7,5.52,6,5,6
0.5,5.1,2,3,5
0.75,5.81,3,4,6
1.31,7.06,1,4,4
1.24,6.91,1,7,5
0.72,5.69,2,2,6
1.73,7.76,3,7,5
1.0,6.22,5,4,3
1.51,7.27,3,4,7
1.03,6.39,1,5,5
1.59,7.52,3,6,4
0.56,5.3,1,2,6
0.32,4.5,2,3,1
1.45,7.23,1,3,5
0.9,5.9,5,1,7
1.33,6.99,2,4,3
0.31,4.38,2,4,2
0.35,4.63,3,5,5
0.7,5.74,1,3,7
1.59,7.59,1,3,5
0.38,4.73,2,2,6
1.95,8.05,1,5,8
1.18,6.85,3,2,8
0.55,5.32,2,3,7
1.08,6.53,1,4,4
1.01,6.48,2,3,6
0.36,4.57,1,2,7
1.1,6.67,2,1,5
0.82,5.94,1,5,4
1.55,7.48,2,1,7
1.06,6.55,3,5,6
1.21,6.97,3,5,4
1.0,6.4,2,2,6
1.0,6.37,1,1,6
0.41,4.75,1,4,6
0.43,4.81,1,5,4
0.53,5.26,2,4,4
1.03,6.52,3,2,7
1.12,6.61,2,5,6
0.33,4.45,1,4,4
0.41,4.71,1,4,6
0.35,4.64,3,4,4
0.5,5.13,1,2,5
0.72,5.8,2,1,6
0.5,5.07,1,1,6
0.73,5.82,2,4,7
0.32,4.43,1,4,1
0.3,4.32,2,1,5
0.35,4.55,2,4,4
0.94,6.27,3,3,7
1.16,6.69,1,7,5
0.53,5.19,1,3,7
0.45,4.99,2,4,1
1.8,7.71,2,5,6
0.41,4.83,2,3,5
2.01,7.94,1,6,5
0.43,4.88,3,1,4
0.73,5.84,3,3,3
0.38,4.71,1,5,2
0.34,4.44,3,2,6
0.3,4.32,2,4,5
0.3,4.3,1,1,6
0.32,4.38,2,2,3
0.33,4.6,3,3,1
1.03,6.42,1,3,5
0.31,4.37,2,6,6
0.53,5.21,2,1,2
0.9,6.17,6,4,1
0.51,5.02,3,7,6
1.02,6.48,2,4,5
0.25,4.19,6,1,3
1.02,6.62,6,1,7
1.07,6.53,2,3,7
1.08,6.64,2,4,7
0.35,4.79,5,3,2
0.31,4.38,1,3,5
1.23,6.88,1,1,5
0.31,4.35,2,5,3
0.36,4.55,1,1,6
1.04,6.46,2,4,5
0.51,5.16,1,1,5
1.24,7.03,3,6,5
2.04,8.36,6,5,6
0.54,5.32,6,2,6
0.52,5.19,2,3,5
0.8,5.9,3,1,7
0.3,4.32,1,5,2
1.18,6.89,2,2,7
2.0,7.96,5,6,7
0.41,4.79,2,2,3
1.5,7.31,3,5,3
0.56,5.3,3,1,1
0.7,5.78,3,3,6
1.04,6.52,1,2,7
0.32,4.4,3,6,5
0.23,3.92,3,4,3
0.39,4.71,2,5,6
1.35,7.06,1,2,7
0.34,4.55,2,5,1
0.31,4.47,3,7,6
0.53,5.22,2,1,5
0.31,4.34,2,5,3
1.01,6.36,1,4,3
1.01,6.35,3,6,7
0.3,4.3,2,3,2
0.62,5.52,2,5,1
0.48,4.97,1,2,5
0.59,5.41,1,3,5
0.35,4.59,2,6,4
1.02,6.52,2,4,5
0.31,4.34,2,4,4
0.35,4.55,1,2,5
0.24,4.01,3,2,3
0.75,5.96,1,2,6
0.9,6.19,3,3,5
1.51,7.35,2,4,5
2.02,8.05,1,3,7
0.4,4.79,1,3,5
0.35,4.56,2,1,5
1.01,6.4,1,7,7
0.3,4.27,3,6,2
1.19,6.75,3,1,7
1.61,7.51,2,4,4
0.31,4.34,2,2,5
1.08,6.51,3,4,3
0.3,4.33,2,2,2
0.76,5.76,1,5,6
0.4,4.78,2,2,6
0.33,4.47,2,4,3
1.01,6.4,3,2,6
0.7,5.86,3,5,6
2.1,8.24,1,6,6
0.9,6.18,6,3,7
0.82,6.2,6,7,6
0.28,4.24,2,5,4
1.11,6.49,1,4,7
0.7,5.7,3,4,3
2.02,8.35,6,6,7
0.85,6.19,5,4,4
0.7,5.77,1,6,2
0.56,5.29,1,1,6
0.84,6.04,1,5,7
0.53,5.2,2,2,5
0.41,4.84,3,6,2
0.32,4.43,3,5,4
1.2,6.9,1,3,7
1.15,6.72,1,5,7
0.41,4.83,2,7,5
1.09,6.61,2,5,6
0.5,5.08,6,2,6
0.31,4.38,2,3,5
1.02,6.35,2,4,6
0.51,5.18,2,3,5
0.31,4.33,3,3,5
0.51,5.24,3,2,4
0.73,5.89,2,3,4
1.02,6.35,3,1,6
1.24,7.0,2,3,7
1.03,6.52,3,5,5
0.7,5.52,6,3,7
0.41,4.74,3,3,3
0.72,5.78,2,5,2
1.08,6.57,2,3,5
0.52,5.14,2,2,5
0.56,5.32,2,4,7
0.51,5.06,2,3,5
1.02,6.68,3,1,7
1.01,6.42,3,7,3
0.71,5.77,3,6,3
0.7,5.71,2,2,5
1.5,7.34,2,4,7
1.21,6.67,6,4,5
0.5,5.06,3,3,4
2.09,8.31,1,7,4
0.5,4.99,3,3,8
1.02,6.58,1,4,7
0.7,5.79,6,3,4
0.71,5.73,2,4,3
0.51,5.1,6,4,6
0.53,5.25,2,5,2
0.9,6.23,3,3,4
0.47,5.07,2,1,4
0.29,4.29,2,4,6
0.5,5.12,1,1,5
0.78,6.12,3,1,5
0.41,4.74,2,2,5
0.53,5.18,2,3,6
0.31,4.32,3,3,5
0.65,5.61,2,3,3
0.32,4.35,1,5,5
1.51,7.39,1,3,5
1.07,6.57,2,3,1
1.01,6.44,3,4,6
0.41,4.69,3,2,7
0.41,4.78,6,2,6
2.48,8.61,1,6,6
0.78,5.88,3,5,7
1.0,6.23,6,3,4
0.54,5.2,3,5,5
1.57,7.45,2,5,6
0.52,5.18,2,1,3
1.63,7.52,2,5,7
0.71,5.73,3,2,6
1.58,7.44,1,6,4
0.35,4.57,3,2,6
1.51,7.21,1,4,6
1.39,7.08,1,6,6
1.02,6.33,1,1,7
1.61,7.4,1,5,6
0.7,5.66,3,2,4
1.5,7.24,6,2,5
0.38,4.68,2,1,4
1.2,6.87,2,7,6
0.91,6.08,6,3,6
1.07,6.59,2,4,7
0.9,6.14,3,4,5
1.71,7.54,6,6,4
1.04,6.52,2,4,7
0.32,4.35,1,5,1
0.44,4.93,2,4,1
1.27,6.95,3,5,5
0.8,5.86,1,5,4
1.1,6.69,3,1,7
1.21,6.85,2,4,5
0.5,5.05,1,2,5
0.3,4.28,1,6,3
1.12,6.63,2,1,5
1.2,6.75,3,4,6
1.17,6.9,3,7,8
0.7,5.63,6,3,5
0.41,4.72,2,1,5
1.54,7.56,3,3,5
1.68,7.44,6,2,8
0.44,4.85,3,2,4
0.59,5.54,3,1,5
1.53,7.38,2,5,7
1.52,7.45,1,1,7
1.0,6.39,1,3,6
0.5,5.06,1,3,4
0.31,4.39,2,2,5
1.5,7.32,3,3,1
0.33,4.5,2,2,3
0.37,4.57,1,3,6
0.9,6.03,6,5,7
1.01,6.58,2,4,7
1.52,7.38,1,4,5
1.03,6.5,2,3,2
0.92,6.43,3,7,7
0.51,5.22,3,5,2
1.23,6.79,6,7,5
0.71,5.79,2,7,3
0.31,4.35,1,2,5
0.32,4.46,2,3,5
1.0,6.33,6,6,5
0.3,4.26,1,1,7
0.3,4.29,2,2,5
0.39,4.62,3,4,3
0.31,4.42,2,4,4
0.73,5.82,2,1,5
0.99,6.1,5,7,8
0.31,4.37,2,2,3
0.72,5.72,1,1,6
0.8,5.96,1,2,7
0.53,5.23,2,4,4
0.41,4.75,2,6,3
2.23,8.39,3,7,5
0.73,5.82,1,6,4
1.29,7.05,2,5,4
1.0,6.23,3,4,7
1.05,6.46,3,6,7
0.83,6.07,2,3,5
1.1,6.56,1,3,7
0.3,4.31,2,5,5
2.19,8.19,6,6,7
0.27,4.21,2,3,1
0.32,4.37,1,4,6
0.5,5.08,1,2,4
0.3,4.34,2,1,6
0.35,4.61,3,1,6
0.34,4.46,2,2,4
0.31,4.32,2,6,6
0.33,4.46,1,1,5
0.4,4.72,2,4,4
0.36,4.61,1,5,6
1.59,7.6,3,1,5
0.22,3.89,1,2,5
1.04,6.41,2,6,5
0.31,4.35,2,4,6
1.02,6.43,1,7,6
1.51,7.43,1,4,6
1.51,7.54,3,3,4
2.38,8.52,3,7,5
1.01,6.57,6,6,4
1.01,6.44,6,3,7
0.9,6.24,2,6,4
1.13,6.75,2,4,6
0.3,4.27,3,2,5
1.01,6.27,3,5,5
0.8,5.92,2,4,7
1.09,6.54,3,1,7
1.28,6.94,1,5,6
0.31,4.33,2,1,6
0.71,5.6,6,7,5
2.1,8.22,2,6,7
0.3,4.21,1,4,2
1.23,6.81,6,4,6
0.55,5.27,2,3,6
0.55,5.24,2,2,6
0.55,5.29,2,2,6
0.32,4.41,3,2,5
0.49,5.11,5,1,5
0.41,4.82,6,6,4
0.3,4.3,2,2,3
0.54,5.22,2,3,7
0.55,5.24,2,7,4
0.55,5.23,3,2,6
0.3,4.29,2,4,4
0.42,4.83,2,1,6
1.01,6.31,6,6,7
0.35,4.57,2,2,6
0.53,5.16,3,3,5
0.51,5.12,1,4,5
1.02,6.38,3,4,4
0.3,4.31,2,1,3
0.4,4.74,2,1,5
1.87,8.04,2,5,4
0.36,4.62,2,2,5
0.3,4.22,5,3,5
0.54,5.24,3,4,4
1.07,6.69,1,2,5
0.9,6.24,6,1,6
0.7,5.47,5,4,6
0.3,4.35,2,1,6
0.7,5.74,6,5,3
0.33,4.54,2,1,5
1.5,7.35,1,5,7
1.76,7.72,3,5,5
0.71,5.71,2,2,4
0.93,6.24,2,5,6
0.31,4.29,6,4,5
0.78,6.13,3,7,6
0.4,4.74,1,4,3
0.5,5.18,1,6,7
0.7,5.77,2,5,6
1.0,6.38,2,1,6
1.22,7.01,1,6,5
0.7,5.62,6,5,7
0.9,6.27,2,1,6
0.31,4.3,2,3,5
0.4,4.77,1,2,6
0.74,5.76,1,3,6
1.02,6.41,1,4,5
0.78,5.99,1,4,7
1.0,6.54,2,1,2
0.91,6.08,5,3,6
0.31,4.45,2,7,3
0.7,5.7,2,4,5
0.4,4.74,2,4,2
1.2,6.65,6,5,7
0.77,5.95,1,2,7
0.58,5.3,1,2,4
1.51,7.25,6,1,6
0.3,4.21,1,4,5
0.53,5.39,6,2,7
0.54,5.23,1,4,4
0.46,4.92,3,7,4
0.91,6.22,3,4,7
0.23,3.95,3,2,3
1.91,7.89,6,6,7
0.9,6.02,6,4,5
0.32,4.46,2,5,3
0.23,4.06,3,3,3
0.88,6.13,3,3,3
0.59,5.57,3,3,7
0.82,6.05,2,1,5
0.8,5.88,3,3,5
0.63,5.53,2,1,6
2.0,7.69,5,6,7
1.01,6.41,1,4,7
1.02,6.44,3,5,4
2.0,8.03,6,3,6
1.06,6.33,5,6,8
0.37,4.64,2,4,5
1.25,6.82,1,1,7
0.5,5.08,1,4,4
1.08,6.57,1,3,6
0.37,4.58,3,4,7
0.51,5.02,6,3,6
0.74,5.76,2,3,6
0.7,5.63,1,3,2
1.12,6.85,6,5,6
1.06,6.55,2,4,2
0.51,5.09,1,5,4
0.4,4.76,2,3,2
0.73,5.69,3,2,7
2.07,8.08,2,7,7
0.25,4.08,1,2,5
0.62,5.55,2,1,4
0.33,4.44,3,5,5
1.52,7.37,1,1,7
0.54,5.28,2,3,5
1.0,6.41,2,3,7
0.44,4.88,3,6,4
0.9,6.04,6,4,6
1.31,7.18,2,4,3
0.54,5.27,2,3,4
0.54,5.29,2,1,5
0.71,5.64,1,1,7
0.48,5.01,3,2,6
1.01,6.43,1,3,5
0.92,6.23,1,3,6
1.01,6.39,1,5,5
0.8,5.93,2,3,7
0.4,4.72,3,2,5
1.23,6.97,1,4,7
1.18,6.76,2,4,4
0.72,5.72,3,1,6
0.3,4.34,2,5,5
0.9,6.12,1,4,6
0.3,4.3,3,2,3
0.77,5.92,6,4,4
0.7,5.67,2,2,6
0.32,4.48,1,2,5
1.5,7.15,5,6,7
0.31,4.37,3,4,5
0.36,4.57,1,1,5
1.5,7.35,2,7,6
0.57,5.34,2,3,5
0.79,5.9,3,1,7
0.31,4.34,2,4,2
0.71,5.78,2,2,7
0.31,4.43,1,5,2
1.07,6.56,3,2,7
1.22,6.83,2,5,6
0.31,4.28,3,3,6
0.32,4.36,2,2,5
1.01,6.4,1,2,7
0.35,4.51,2,1,5
0.23,4.02,3,2,3
0.27,4.18,2,6,4
1.54,7.36,6,7,6
0.55,5.31,2,1,5
0.4,4.72,2,3,3
0.9,6.34,1,2,5
0.7,5.75,3,6,5
1.15,6.5,5,4,4
0.79,5.95,2,6,3
0.81,6.05,2,5,6
1.1,6.61,2,2,7
0.32,4.4,2,2,5
1.07,6.62,2,5,3
0.7,5.78,2,5,6
0.8,6.05,1,3,6
0.9,6.13,3,3,6
1.09,6.75,1,6,5
0.57,5.36,2,3,1
0.42,4.8,2,1,5
1.04,6.55,3,4,5
2.0,7.94,2,5,5
0.4,4.71,2,2,6
1.01,6.25,6,3,6
0.52,5.2,2,2,3
0.37,4.68,1,1,6
1.22,4.24,1,7,7
1.6,7.58,2,3,6
1.0,6.42,3,3,6
0.7,5.45,5,4,8
1.06,6.6,2,1,5
0.38,4.57,3,5,2
0.91,6.24,2,3,6
0.61,5.49,3,7,6
0.37,4.67,2,5,5
1.0,6.49,3,3,5
0.46,5.0,2,4,2
0.9,6.1,6,5,6
0.32,4.43,2,2,5
0.5,5.15,2,2,4
0.31,4.37,2,1,6
1.01,6.27,1,5,5
0.3,4.29,2,6,4
1.21,6.74,3,4,3
1.54,7.28,2,1,6
1.59,7.55,1,3,7
1.01,6.33,6,7,4
0.72,5.75,2,7,6
0.7,5.65,2,7,5
1.7,7.61,3,5,5
0.74,5.87,2,7,3
0.56,5.33,2,2,6
0.71,5.84,1,2,6
0.33,4.5,2,4,6
0.3,4.37,1,6,3
